name,m,x,y,z,vx,vy,vz
205P/Giacobini,1e-20,-4.226045078827208,3.238484136837225,-0.8773153867013495,-0.004118875398392112,-0.002934258772177801,0.0008096478336840127
100P/Hartley 1,1e-20,4.016660554795126,0.1961947669732576,-1.102562059672041,0.002927170529211009,0.006656076047424126,0.001663712974585719
Palomar (P/2019 LM4),1e-20,3.177548224488072,2.733448665258581,-1.644317804269509,-0.006666873281345095,0.002714919477835318,0.005285404842019974
Gilmore (P/2007 Q2),1e-20,-7.011051183391407,-0.9775726295568435,0.3448613042263309,0.004138554764583556,-0.00367794295068579,0.0005561684740799963
137P/Shoemaker-Levy 2,1e-20,0.2461369685012947,-3.349027180521718,0.1875435490187934,0.00845997368560883,0.006231709349158944,0.0002564686337569637
73P-BR/Schwassmann-Wachmann 3,1e-20,2.040029801772515,3.357753685325199,-0.139938232839068,-0.002332277970130438,0.006839363548291103,0.0008926918617593576
73P-BR/Schwassmann-Wachmann 3,1e-20,2.040029801772515,3.357753685325199,-0.139938232839068,-0.002332277970130438,0.006839363548291103,0.0008926918617593576
Elenin (P/2011 NO1),1e-20,8.956035065886246,3.464559380509797,2.632135959893428,-0.001198423572287543,0.002280055925597549,-2.223226951713536e-05
Larsen (C/2004 C1),1e-20,2.199142430720623,-16.48276802085195,7.299015048026742,0.002570934257076903,-0.0008823005047108315,-0.0002451149704372455
230P/LINEAR,1e-20,-3.569046245203904,-3.209892922899219,1.175706381667606,0.001861154920004966,-0.005422906632172702,5.243368830778946e-05
301P/LINEAR-NEAT,1e-20,6.394351151357053,-3.525453095579111,-0.4574985602112773,0.004759653964406253,0.002504543428544615,0.0005861990271931368
369P/Hill,1e-20,2.615585884005374,-1.394746853549296,-0.5217131492820853,4.761266708069278e-06,0.0112819430123894,0.001390426047840166
Kowalski (C/2015 D5),1e-20,-5.702185013101756,-5.50919679749407,1.483659282676505,0.001292524902237926,-0.00613621404270274,-0.00109289894540411
Harrington-Wilson (D/1952 B1),1e-20,-1.21276331822801,-2.850181359728758,0.6213280251792955,0.004764750747334547,-0.008404004446277914,-5.138877180785873e-05
Spacewatch (P/2010 UH55),1e-20,-0.9184690050407666,-9.971396641665498,0.7410107678789436,0.00349241960280857,-0.001358988883180849,0.0005214704060654974
214P/LINEAR,1e-20,4.223499134722,-2.3246154906093,-0.3852009977059925,0.004926623816337085,0.003813280104269157,0.001286703438956768
285P/LINEAR,1e-20,-7.275876764370291,-0.2424110577747458,-0.2112892702325201,-0.000196132805690069,-0.003585128156829583,0.001656380878219293
250P/Larson,1e-20,-0.8041338029712374,2.041653146803291,0.317823935602448,-0.012231695387347,-0.005679673888965545,0.002395951200753429
73P-BI/Schwassmann-Wachmann 3,1e-20,1.928947325840888,3.59087703323271,-0.09890435604987621,-0.002747971121131209,0.006219250342520097,0.0009187828982963843
414P/STEREO,1e-20,0.572869202805717,-4.67877678648504,0.6686535367286403,0.003530365149748106,-0.001825433622752651,0.001659496265085663
73P-X/Schwassmann-Wachmann 3,1e-20,2.263442634233663,2.095873607290696,-0.278102788928256,0.0002444629523164801,0.009759245292817305,0.0006285049790434672
73P-AG/Schwassmann-Wachmann 3,1e-20,2.257317909148892,1.904686833602325,-0.2911426824900859,0.0007325661039636125,0.01017081755536938,0.0005651465393082736
379P/Spacewatch,1e-20,-0.2463790449522984,3.693212209023229,-0.8128258785720504,-0.007822016646097826,-0.003273850571827174,0.0005962213854315256
Gibbs (P/2014 W12),1e-20,-4.768125916235927,2.403168205495397,-0.4466867066937295,-0.002480659283838304,-0.004452983083000166,-0.0006496757984731773
McNaught (P/2012 O1),1e-20,-3.469227359610816,-1.26195904644303,0.4577265130420809,0.007167935144341568,-0.004826675560815061,-0.0009109524849357569
Elenin (C/2015 X4),1e-20,-6.025656213604989,0.2647153571120068,-3.400268375377652,-0.005251212411245069,-0.005934365227350678,-0.002515035809264223
73P-Z/Schwassmann-Wachmann 3,1e-20,2.271760420468857,2.163370545100783,-0.2792946707207961,8.371908543287628e-05,0.009592217876074399,0.000626336104158033
57P-A/duToit-Neujmin-Delporte,1e-20,-1.877942868293205,4.693669919732202,-0.2451064253650621,-0.005494329022738727,-0.0009865378968961361,6.61024757368811e-06
PANSTARRS (C/2016 P4),1e-20,6.341445531929778,-0.7180984211359991,1.983673611722436,0.002864541701755106,0.007712082259485933,0.004474074162880173
134P/Kowal-Vavrova,1e-20,7.758184073117074,0.6463651808840074,0.1762981307705373,0.00257518443702508,0.004684329227404409,-0.0002565903413821335
PANSTARRS (P/2018 P4),1e-20,2.872165137562048,-2.69446472057981,-0.9947152030988693,0.005161547090633901,0.007853506709330105,0.003592417132281577
346P/Catalina,1e-20,-3.044464165103066,0.7285595139826266,1.147529131002665,-0.005971354822242512,-0.008132853806261406,0.003095389152891581
PANSTARRS (P/2012 C3),1e-20,-1.453029575833964,-11.50231340636625,1.471192510741966,0.003203791048235535,-0.003200111555646146,-2.335513104314791e-05
267P/LONEOS,1e-20,-1.205059817110352,-2.008254754969267,0.04522637001068518,0.01260184788960483,0.0009142608539572851,0.0009529983271732335
McNaught (P/2013 J2),1e-20,-4.813550314518664,7.437936697279866,-0.5745436605072343,-0.004234401359263886,5.604134153357401e-05,-0.001103659354888131
121P/Shoemaker-Holt 2,1e-20,0.1597834436684313,-5.394428320922078,0.08448952197179328,0.006312447877002051,-0.0002111421274707271,-0.002305975781776628
Palomar (P/2019 LM4),1e-20,3.177548224488072,2.733448665258581,-1.644317804269509,-0.006666873281345095,0.002714919477835318,0.005285404842019974
73P-AK/Schwassmann-Wachmann 3,1e-20,2.252309894214869,2.404557957425282,-0.248457880625091,-0.0004687184708199641,0.009084304273942894,0.0007326265763634111
150P/LONEOS,1e-20,1.352469120833674,-4.02100237556931,0.39572960981517,0.007310077194824589,-0.001837166203918617,0.002419284197822565
PANSTARRS (P/2014 U4),1e-20,-5.103408220774918,-0.3890052678528703,0.07730646626505087,0.0007716217925207499,-0.005479270873919593,-0.0006240041112105072
213P-B/Van Ness,1e-20,2.139146391225279,0.02132630773257743,0.2968320054002492,0.00254875081742393,0.01324151729864695,0.001951923198058816
PANSTARRS (P/2020 M1),1e-20,-0.386315037997928,4.949122126446812,-0.5643092355043773,-0.006492532705049399,-0.004117774752690095,0.001092304922031142
251P/LINEAR,1e-20,1.878176000953155,-1.10289838622083,0.8856081709134179,0.01065494887197492,0.007318402974823366,0.0004804518321733551
368P/NEAT,1e-20,1.351681776958492,-2.610757486166326,0.5168836344940038,0.006403896523216351,0.0101166759878688,0.00115151753457593
PANSTARRS (C/2014 W11),1e-20,-0.1132562773498289,-6.928066358799645,-0.7043906846891564,0.005679522371166978,-0.004669901208934527,0.0006931562811582264
Boattini (P/2011 V1),1e-20,-2.133368509252929,-1.850951317928125,0.03615912264016528,0.01081842905896306,-0.003718782422966922,-0.001350832491657332
339P/Gibbs,1e-20,4.286044503611757,-1.278305339325511,0.07331485538058664,0.005883033142644628,0.004160927899492731,-0.0004896122001204844
155P/Shoemaker 3,1e-20,5.462406004525795,-1.722268052693869,-0.5832523762786569,-0.003647943596849646,0.00666770558728592,0.0003118494898322141
361P/Spacewatch,1e-20,2.789108299419519,1.111839741058924,0.01999397406333302,-0.006388450194708217,0.009424635145677087,-0.002763730699906293
Zhao (P/2007 S1),1e-20,-4.822781659158217,-0.04226523633146541,0.3172695528978086,-0.001355415654480874,-0.006512617621721329,0.0006209011911312031
341P/Gibbs,1e-20,-0.4824496094970984,4.259443659553637,0.2604510546602194,-0.007894280249463375,0.002546722360882014,0.0004083329366611777
PANSTARRS (P/2011 W1),1e-20,1.49451453884005,-5.644656597735166,0.318101271330275,0.00567061716088325,0.002337915238780597,-0.000259392962325201
361P/Spacewatch,1e-20,2.789108299419519,1.111839741058924,0.01999397406333302,-0.006388450194708217,0.009424635145677087,-0.002763730699906293
